	D1	D2	D3	D4	D5	D6	D7	D8	D9
ENSMUSG00000028100	186	190	157	100.001	142	127	127	90	144
ENSMUSG00000028101	1803	1677	2034	1122.001	1492	1541	1492	1062.001	1399
ENSMUSG00000028102	990	891.999	1012.001	768.999	1044.999	1011.001	1096.999	718	1148.86
ENSMUSG00000028104	848	810	842	823	1022.001	962.001	1108	705.999	1216
ENSMUSG00000028106	1938.001	1787	1999.001	1318.001	1812	1708.999	2002.001	1414	2084
ENSMUSG00000028107	1635	1382.999	1634	1108	1564.002	1342.999	1528.002	1016	1541
ENSMUSG00000028108	8120	7394	8121	5038.998	7179.999	6795.999	7771.999	5078	7406
ENSMUSG00000028109	0	0	0	0	0	0	0	0	0
ENSMUSG00000028111	1	0	0	0	4	1	0	0	0
ENSMUSG00000028114	1975	1808	1819.001	1274	1572	1561	1474	990	1486
ENSMUSG00000028115	2	0	0	0	1	0	1	2	0
ENSMUSG00000028116	9	3	4	5	8	5	10	6	8
ENSMUSG00000028121	957	908.001	997	828	1183	1063.001	1302.999	856	1289
ENSMUSG00000028124	3351.939	3067.251	3559.273	2819.04	3849.736	4258.267	4217.935	2896.896	4359.831
ENSMUSG00000028125	20	17	20	9	19	9	11	10	10
ENSMUSG00000028126	2930	2563.999	2766	2793.999	3903.001	3589.001	4604.001	3208	4557.001
ENSMUSG00000028127	4691	4107	4559.999	3541	4799	4532	5224.999	3458	5115
ENSMUSG00000028128	1748	1471	1769	1229	1690	1720	2348	1586	2442
ENSMUSG00000028132	122.001	119	118	88	138	139	168	70	134
ENSMUSG00000028133	104.001	98	118	100	154.999	146	188.999	106	152.999
ENSMUSG00000028134	1119.999	1052	1199	826.999	1140.998	1140.001	979.999	666	998.001
ENSMUSG00000028136	4334	3838	4297	2870	3897.999	3612	4090.001	2643.999	4072
ENSMUSG00000028137	0	0	0	0	1	0	1	0	0
ENSMUSG00000028138	6245.001	5674.999	6229.999	3694	5111	4576	4538	3387.999	4572
ENSMUSG00000028139	0	0	0	0	2	1	1	0	0
ENSMUSG00000028140	5339	4755.001	5455	2863	4069	3510.001	3067	2114	3101.999
ENSMUSG00000028141	5	4	8	1	3	7	0	2	1
